项目名称,项目ID,项目地点
九龙江流域浦南段水环境综合治理项目工程总承包（EPC+O）重新招标,273934,市本级
沙县区城市综合基础设施（市政、园林领域）建设管护项目（市政维护项目监理）,273933,沙县
霞浦县樱花谷景区旅游基础设施提升改造项目（二期）--游客服务中心及配套工程（一期）,273931,霞浦县
厦门港古雷港区古雷作业区南3#泊位工程（水工土建部分）-招标公告,273928,福建省
厦门港古雷港区古雷作业区南3#泊位工程（水工土建部分）-招标公告,273927,福建省
泉州第五中学江南校区（招标公告）,273926,鲤城区
漳州凯莱酒店项目装修工程设计招标公告,273925,龙海市
晋江市城市运行和治理智慧平台项目（招标公告）,273922,晋江市
周宁县仙风山道路工程全过程工程咨询,273920,周宁县
国家税务总局政和县税务局综合业务办公用房维修改造项目,273918,政和县
芗城区“城央之尚”居民住宅东侧规划支路工程招标公告,273914,市本级
政和县医院病房大楼改造提升工程全过程咨询服务,273912,政和县
2025年上杭县湖洋镇高标准农田建设项目,273909,上杭县
2025年上杭县中都镇高标准农田建设项目（新建及改造提升）,273904,上杭县
政和县托育综合服务中心建设项目（施工）,273903,政和县
南安市王文教羽毛球馆项目（招标公告）,273902,南安市
城市森林公园（大坪山、桃花山）设施修复提升项目（招标公告）,273901,丰泽区
通港西街垃圾转运站工程（招标公告）,273900,丰泽区
大田县农村交通提升改造和服务设施建设项目（一期）检测设计施工总承包,273898,大田县
云霄县城区排水防涝能力提升工程(将军大道雨水管道、检查井、雨水蓖修复工程)招标公告,273896,云霄县
前村社市政道路工程（设计“评定分离”）（重新招标）,273891,厦门市
国道G104线福清东瀚至大壤段公路工程（监理）-招标公告,273889,福清市
马銮湾新城灌南社区公园（施工）,273888,厦门市
南平市延平区夏道镇山后村黄坑至木坑公路改建工程,273886,延平区
海霞幼儿园改造提升项目工程（施工）,273885,厦门市
2025年武平县十方镇高标准农田建设项目（新建及改造提升）,273881,武平县
福建福海创石油化工有限公司芳烃装置优化节能改造项目37-C-105苯&甲苯塔（重新招标）,273878,市本级
福建海辰化学有限公司年产40万吨己二腈及原料配套项目设备监造（重新招标）,273877,市本级
S318线(联十四线)南靖县靖城棋盘社至牛崎头段公路工程(第二期)一电力工程,273874,南靖县
思明区青少年宫改造提升项目（施工）,273869,厦门市
吴山头村(革命老区村)易地搬迁村民活动中心重建项目吴山头村（革命老区村）易地搬迁村民活动中心重建项目,273865,松溪县
永春县红五一供水和引调水工程-马跳至城区输水管道标段达埔段（招标公告）,273858,永春县
厦门地质科研实验基地科研配套设施建设项目（施工）,273856,厦门市
永泰县国家 4A 旅游景区索道设备更新项目—索道延伸（下站点）（施工）-招标公告,273855,永泰县
龙岩市2025年普通国省道重点巡查基础设施监控工程及交通量调查站建设升级工程施工运维项目,273853,市本级
X747县道虬江段公路提升工程,273851,沙县
三明市三元区第二实验学校（M2）海绵化改造工程,273849,三元区
永春县“海丝原点”景区旅游配套基础设施建设项目-水坝码头建设及许港溪整治提升项目（招标公告）,273847,永春县
“国家级高新区”-产业基地建设及基础设施项目（一期）（招标公告）,273846,鲤城区
石狮市水系综合治理-水质提升治理项目-东茂沟流域片区系统改造项目（香江路及宋塘路）（招标公告）,273845,石狮市
将乐县全民健身水上运动基地建设项目将乐县全民健身水上运动基地项目全过程工程咨询,273840,将乐县
马尾镇比亚迪（福兴迪）4S店地块及联东U谷地块（原志品地块）北西侧边坡安全隐患治理项目（施工）-招标公告,273839,马尾区
集美2025JP05地块工程总承包（EPC）,273838,厦门市
晋安区老旧小区改造项目（省军区福州第九干休所）（施工）-招标公告,273837,晋安区
东山县前楼下西坑一级渔港工程施工监理,273835,东山县
东山县前楼下西坑一级渔港工程,273834,东山县
景运大楼装修建设项目（设计、施工一体化）-招标公告,273832,鼓楼区
集美浒井公交地块保障性租赁住房（监理）,273831,厦门市
漳州台商区第一中学龙江校区（二期）-智能化设备采购项目招标公告,273829,漳州台商投资区
浯江道（蓬莱路-翔安东路段）工程（施工“评定分离”）,273828,厦门市
马銮湾新城集美北片区市政道路三期工程（监理）,273826,厦门市
福清市第二医院新院项目（净化专项、防护专项工程）-招标公告,273824,福清市
南门洲湿地保护区及污水管网提升项目（施工）-招标公告,273823,永泰县
平潭第一中学（北街校区）翰英楼、启思楼、围墙等修缮工程招标公告,273822,平潭综合实验区
闽清县绿色建筑产业园北斗洋片区路网工程（一期）（施工）-招标公告,273820,闽清县
普通公路示范通道数字化转型升级项目、普通国省道重点巡查基础设施监控工程及交通量调查站建设升级项目监理,273817,市本级
浯江道（蓬莱路-翔安东路段）工程（监理“评定分离”）,273816,厦门市
霞浦县乡镇污水提升改造工程二期（盐田畲族乡）,273815,霞浦县
首邑大厦（施工）-招标公告,273814,闽侯县
邵武市通泰老旧小区改造二期建设项目—越秀苑、嘉鑫名苑小区,273813,邵武市
南平市建阳第二中学新建高中部食堂教学综合楼项目全过程工程咨询,273811,建阳区
马銮湾新城浦盛路工程（施工）,273810,厦门市
同安北大道（厦沙高速-同安大道段）项目（监理）,273809,厦门市
同安北大道（厦沙高速-同安大道段）项目（施工“评定分离”）,273808,厦门市
武夷山市城中村排水防涝工程（三期）排涝站,273801,武夷山市
厦门汽车工业城研发行政中心一期-桩基工程（施工）,273800,厦门市
尤溪县青印溪河道治理工程（八字桥段）设计采购施工总承包,273799,尤溪县
连城县中心城区排水防涝能力提升工程一期-黄九垄溪排水管网改造一标段,273797,连城县
厦门汽车工业城研发行政中心一期（监理）,273795,厦门市
永安市城乡供水一体化建设项目永安市城乡供水一体化上坪乡、青水乡、槐南镇单村供水项目,273792,永安市
龙岩市长汀县G319线灾害防治工程,273791,长汀县
南平市生态资源产业智慧化培育建设项目南平市森林资源智慧运营中心建设项目、南平市生态资源产业智慧化培育建设项目工程总承包招标公告,273785,市本级
建瓯市伍石古村落保护修缮及活化利用项目工程总承包+运营,273784,建瓯市
福建省妇幼保健院中西医协同“旗舰”医院建设项目（一标段）（设计施工一体化）-招标公告,273783,鼓楼区
邵武市太极广场周边片区供排水建设工程（一期）,273776,邵武市
2025P15地块（监理）,273771,厦门市
惠安县城南水厂三期扩建工程配水管道工程（AB标段）（招标公告）,273770,惠安县
南平市延平区徐洋溪流域水环境综合整治项目,273768,延平区
龙津溪水环境综合治理提升（一期）工程——陈巷段十五户陂流域水环境增效项目招标公告,273767,长泰县
霞浦县新型智慧教育项目设计（重新招标）,273766,霞浦县
漳州市医院古雷分院医疗服务能力提升工程设计,273764,市本级
海沧区莲花社区城中村现代化治理项目（EPC+O）,273760,厦门市
宋元海丝宴沉浸式文化中心（招标公告）,273759,石狮市
南日海岛公益性公墓区建设项目,273753,秀屿区
策福路（西柯派出所-埭湖路段）道路工程（施工）,273750,厦门市
永安市城乡供水一体化建设项目永安市城乡供水一体化工程——主城区独立供水分区西区水厂至南区水厂水源联通工程、东部独立供水分区青水乡备用水源输水工程,273748,永安市
