达人名称,粉丝数,新增粉丝数,销售额,平均单价,近30日平均观看人次,近30日平均视频播放量,近30日平均分钟带货表现
婷婷甄选等你们回家3,1.8万,949,1亿+,10万+,5.2万,0,1299.71
婷婷甄选涅槃重生2,1.6万,-10,1亿+,10万+,4.7万,0,1140.38
毛楞√薇姐,11.7万,6,1亿+,10万+,4.8万,0,43.08
懒猫nono—皮草大上新 18号6点开炸,237.8万,-422,1亿+,10万+,29.4万,0,307.1万
俊俊（大牌清货）,3.1万,-14,1亿+,10万+,2.5万,0,128.7万
霖霖柒,6.7万,-13,1亿+,10万+,5689,0,8.22
喜大爱很爱吃,19.4万,258,1亿+,10万+,3.4万,0,200.42
依依饿了,12.2万,195,1亿+,6.4万-6.6万,7.9万,0,134.33
小茗临期,16.2万,848,1亿+,1.6万-1.8万,15万,0,21.7万
老许不吃鱼（小鱼）,31.4万,115,1亿+,1.8万-2.0万,14.9万,0,492.99
高翔九天辣椒酱「创始人」,2.6万,-1,1亿+,10万+,8597,0,14.05
大瑶清货啦（14:30开仓）,2万,7,1亿+,10万+,9580,250-500,26.93
东北小辣椒(小鱼),48.7万,-39,1亿+,1.6万-1.8万,22.9万,0,234.83
羊仔-馋嘴羊（零食云仓）,13.3万,60,1亿+,2.6万-2.8万,4.8万,0,228.15
加明（临期小号版）,2.2万,154,1亿+,7.4万-7.6万,4.1万,500-750,310.29
与辉同行,3667.2万,10.2万,1亿+,100-200,2295.7万,7.5万-10万,11.5万
老汪（临期清货优选）,14.2万,16,1亿+,5.0万-5.2万,4.1万,0,308.27
王嬛嬛,64.8万,-109,1亿+,4.4万-4.6万,29.1万,0,1.1万
欣欣在东北,4.8万,-19,1亿+,8.8万-9.0万,4.3万,0,108.88
佛山表姐（大牌临期专号）,1.3万,-4,1亿+,10万+,1.2万,0,133.7
