交易日期,交易所,最高价,最低价,开盘价,收盘价,证券简称
2026-04-16,SZE,11.23,11.07,11.2,11.09,平安银行
2026-04-16,SZE,4.0,3.94,3.97,3.96,万  科Ａ
2026-04-16,SZE,3.64,3.64,3.64,3.64,*ST国华
2026-04-16,SZE,9.47,8.73,8.76,9.4,深振业Ａ
2026-04-16,SZE,13.85,13.28,13.39,13.69,全新好
2026-04-16,SZE,2.71,2.67,2.69,2.7,神州高铁
2026-04-16,SZE,9.02,8.86,8.9,8.94,中国宝安
2026-04-16,SZE,4.13,3.93,4.12,4.08,美丽生态
2026-04-16,SZE,8.41,8.25,8.3,8.39,深物业A
2026-04-16,SZE,4.56,4.48,4.48,4.54,南  玻Ａ
2026-04-16,SZE,13.36,13.08,13.12,13.33,沙河股份
2026-04-16,SZE,3.3,3.16,3.2,3.29,深康佳Ａ
2026-04-16,SZE,6.93,6.75,6.82,6.89,深中华A
2026-04-16,SZE,7.9,7.6,7.9,7.77,深粮控股
2026-04-16,SZE,15.91,15.6,15.8,15.9,深华发Ａ
2026-04-16,SZE,28.85,27.95,28.28,28.77,深科技
2026-04-16,SZE,16.3,16.06,16.16,16.29,特  力Ａ
2026-04-16,SZE,17.89,17.06,17.5,17.73,飞亚达
2026-04-16,SZE,6.72,6.65,6.68,6.71,深圳能源
2026-04-16,SZE,26.79,26.3,26.48,26.51,国药一致
2026-04-16,SZE,20.25,19.71,19.81,20.16,深深房Ａ
2026-04-16,SZE,5.23,5.17,5.18,5.2,富奥股份
2026-04-16,SZE,2.93,2.85,2.91,2.9,大悦城
2026-04-16,SZE,19.2,18.61,18.61,19.02,深桑达Ａ
2026-04-16,SZE,36.1,34.9,34.92,35.93,神州数码
2026-04-16,SZE,6.88,6.72,6.78,6.81,中国天楹
2026-04-16,SZE,5.06,4.89,4.89,5.03,华联控股
2026-04-16,SZE,10.07,9.72,9.89,10.06,深南电A
2026-04-16,SZE,12.24,11.83,11.83,12.1,中集集团
2026-04-16,SZE,8.91,8.74,8.78,8.91,中洲控股
2026-04-16,SZE,12.17,11.8,12.04,12.16,深纺织Ａ
2026-04-16,SZE,15.63,15.31,15.53,15.39,京基智农
2026-04-16,SZE,27.67,27.04,27.24,27.3,德赛电池
2026-04-16,SZE,8.31,8.21,8.26,8.29,深天马Ａ
2026-04-16,SZE,3.53,3.43,3.47,3.52,方大集团
2026-04-16,SZE,1.9,1.84,1.89,1.87,皇庭国际
2026-04-16,SZE,8.09,7.94,7.99,8.07,深 赛 格
2026-04-16,SZE,5.33,5.23,5.26,5.28,华锦股份
2026-04-16,SZE,6.56,6.39,6.39,6.55,中金岭南
2026-04-16,SZE,7.37,7.25,7.31,7.34,农 产 品
2026-04-16,SZE,29.0,27.51,28.0,28.62,深圳华强
2026-04-16,SZE,35.59,34.95,35.42,35.4,中兴通讯
2026-04-16,SZE,14.67,14.21,14.6,14.38,北方国际
2026-04-16,SZE,15.87,15.45,15.66,15.6,中国长城
2026-04-16,SZE,3.32,3.23,3.27,3.31,华控赛格
2026-04-16,SZE,2.25,2.21,2.24,2.22,华侨城Ａ
2026-04-16,SZE,20.77,18.41,18.61,20.77,特发信息
2026-04-16,SZE,3.94,3.78,3.86,3.91,海王生物
2026-04-16,SZE,4.61,4.55,4.59,4.56,盐 田 港
2026-04-16,SZE,6.87,6.8,6.81,6.84,深圳机场
2026-04-16,SZE,3.66,3.62,3.64,3.65,天健集团
2026-04-16,SZE,9.79,9.63,9.78,9.71,广聚能源
2026-04-16,SZE,18.6,17.51,17.66,18.17,中信海直
2026-04-16,SZE,4.36,4.26,4.36,4.33,TCL科技
2026-04-16,SZE,11.95,11.8,11.87,11.93,中成股份
