cnname,cnbelong,cnprovinceName,cncityName
清华大学,教育部,北京,海淀区
北京大学,教育部,北京,海淀区
北京大学医学部,教育部,北京,海淀区
上海交通大学,教育部,上海,闵行区
上海交通大学医学院,教育部,上海,黄浦区
复旦大学,教育部,上海,杨浦区
中国科学院大学,中科院,北京,石景山区
中国科学技术大学,中科院,安徽,合肥市
中国人民大学,教育部,北京,海淀区
浙江大学,教育部,浙江,杭州市
浙江大学医学院,教育部,浙江,杭州市
南京大学,教育部,江苏,南京市
复旦大学上海医学院,教育部,上海,徐汇区
北京航空航天大学,工信部,北京,海淀区
哈尔滨工业大学,工信部,黑龙江,哈尔滨市
西湖大学,省教育厅,浙江,杭州市
香港大学,香港特区教育局,香港,香港
北京理工大学,工信部,北京,海淀区
同济大学,教育部,上海,杨浦区
香港中文大学,香港特区教育局,香港,香港
哈尔滨工业大学(深圳),工信部,广东,深圳市
国防科技大学,中央军委,湖南,长沙市
东南大学,教育部,江苏,南京市
南开大学,教育部,天津,南开区
西安交通大学,教育部,陕西,西安市
香港中文大学(深圳),省教育厅,广东,深圳市
武汉大学,教育部,湖北,武汉市
北京航空航天大学中法航空学院,,浙江,杭州市
电子科技大学,教育部,四川,成都市
上海科技大学,市政府,上海,浦东新区
西北工业大学,工信部,陕西,西安市
南方科技大学,省政府,广东,深圳市
华中科技大学,教育部,湖北,武汉市
北京师范大学,教育部,北京,海淀区
天津大学,教育部,天津,南开区
北京邮电大学(宏福校区),教育部,北京,昌平区
北京邮电大学,教育部,北京,海淀区
中山大学,教育部,广东,广州市
哈尔滨工业大学(威海),工信部,山东,威海市
大连理工大学,教育部,辽宁,大连市
香港科技大学,香港特区教育局,香港,香港
北京电子科技学院,中央办公厅,北京,丰台区
华东师范大学,教育部,上海,闵行区
电子科技大学(沙河校区),教育部,四川,成都市
香港科技大学(广州),省教育厅,广东,广州市
厦门大学,教育部,福建,厦门市
香港理工大学,香港特区教育局,香港,香港
中国政法大学,教育部,北京,昌平区
中国人民解放军国防大学,国军委,北京,海淀区
中国人民大学(苏州校区),教育部,江苏,苏州市
西安电子科技大学,教育部,陕西,西安市
香港城市大学,香港特区教育局,香港,香港
华南理工大学,教育部,广东,广州市
福建福耀科技大学,省教育厅,福建,福州市
深圳理工大学,省政府,广东,深圳市
南京航空航天大学,工信部,江苏,南京市
山东大学,教育部,山东,济南市
湖南大学,教育部,湖南,长沙市
上海财经大学,教育部,上海,杨浦区
北京交通大学,教育部,北京,海淀区
中央财经大学,教育部,北京,海淀区
中南大学,教育部,湖南,长沙市
香港浸会大学,香港特区教育局,香港,香港
四川大学,教育部,四川,成都市
东北大学,教育部,辽宁,沈阳市
南京理工大学,工信部,江苏,南京市
对外经济贸易大学,教育部,北京,朝阳区
北京师范大学(珠海校区),教育部,广东,珠海市
重庆大学,教育部,重庆,沙坪坝区
北京科技大学,教育部,北京,海淀区
宁波东方理工大学,,浙江,宁波市
中国社会科学院大学,社科院,北京,房山区
哈尔滨工程大学,工信部,黑龙江,哈尔滨市
北京外国语大学,教育部,北京,海淀区
大湾区大学,广东省人民政府、广东省教育厅,广东,东莞市
中国农业大学,教育部,北京,海淀区
香港城市大学(东莞),广东省教育厅,广东,东莞市
吉林大学,教育部,吉林,长春市
上海纽约大学,市教委,上海,浦东新区
山东大学威海分校,教育部,山东,威海市
中央民族大学,国民委,北京,海淀区
华北电力大学(北京),教育部,北京,昌平区
上海外国语大学,教育部,上海,虹口区
中国海洋大学,教育部,山东,青岛市
外交学院,外交部,北京,西城区
中国传媒大学,教育部,北京,朝阳区
东北大学秦皇岛分校,教育部,河北,秦皇岛
华东理工大学,教育部,上海,徐汇区
大连理工大学(盘锦校区),教育部,辽宁,盘锦市
澳门大学,澳门特区政府,澳门,澳门
空军军医大学,人民解放军空军,陕西,西安市
武汉理工大学,教育部,湖北,武汉市
华北电力大学(保定),教育部,河北,保定市
苏州大学,省政府,江苏,苏州市
河海大学,教育部,江苏,南京市
北京化工大学,教育部,北京,朝阳区
西南财经大学,教育部,四川,成都市
华中师范大学,教育部,湖北,武汉市
中南财经政法大学,教育部,湖北,武汉市
中国人民公安大学,公安部,北京,西城区
江南大学,教育部,江苏,无锡市
兰州大学,教育部,甘肃,兰州市
深圳大学,省政府,广东,深圳市
合肥工业大学,教育部,安徽,合肥市
东华大学,教育部,上海,长宁区
中央音乐学院,教育部,北京,西城区
中国石油大学(北京),教育部,北京,昌平区
上海大学,市政府,上海,宝山区
暨南大学,统战部,广东,广州市
西南交通大学,教育部,四川,成都市
网络空间部队信息工程大学,人民解放军战略支援部,河南,郑州市
南京师范大学,省政府,江苏,南京市
中国药科大学,教育部,江苏,南京市
南京邮电大学,省政府,江苏,南京市
河北工业大学,省政府,天津,北辰区
天津医科大学,市政府,天津,和平区
西北农林科技大学,教育部,陕西,咸阳市
陕西师范大学,教育部,陕西,西安市
华南师范大学,省政府,广东,广州市
福州大学,省政府,福建,福州市
大连海事大学,交通运输部,辽宁,大连市
中国石油大学(华东),教育部,山东,青岛市
海军军医大学,人民解放军海军,上海,杨浦区
东北师范大学,教育部,吉林,长春市
香港教育大学,香港特区政府,香港,香港
华东政法大学,市政府,上海,松江区
北京林业大学,教育部,北京,海淀区
西北大学,省政府,陕西,西安市
中国地质大学(武汉),教育部,湖北,武汉市
安徽大学,省政府,安徽,合肥市
西南政法大学,市政府,重庆,渝北区
湖南师范大学,省政府,湖南,长沙市
香港岭南大学,香港特区教育局,香港,香港
西北政法大学,省政府,陕西,西安市
西南大学,教育部,重庆,北碚区
华中农业大学,教育部,湖北,武汉市
中国地质大学(北京),教育部,北京,海淀区
中国医科大学,省政府,辽宁,沈阳市
中国矿业大学(北京),教育部,北京,海淀区
杭州电子科技大学,省政府,浙江,杭州市
南京农业大学,教育部,江苏,南京市
辽宁大学,省政府,辽宁,沈阳市
中国矿业大学,教育部,江苏,徐州市
广西大学,自治区政府,广西,南宁市
合肥工业大学(宣城校区),教育部,安徽,宣城市
北京体育大学,国体局,北京,海淀区
中央美术学院,教育部,北京,朝阳区
陆军军医大学,人民解放军陆军,重庆,沙坪坝区
北京电影学院,市政府,北京,海淀区
昆山杜克大学,省教育厅,江苏,苏州市
南京信息工程大学,省政府,江苏,南京市
北京工业大学,市政府,北京,朝阳区
长安大学,教育部,陕西,西安市
北京语言大学,教育部,北京,海淀区
云南大学,省政府,云南,昆明市
浙江工业大学,省政府,浙江,杭州市
北京交通大学(威海校区),教育部,山东,威海市
